cd_mun,municipio,nm_mun_y,uf,nm_uf,regional,faixa_populacional,populacao,area_km2,n_meses_com_registro,cvli_total,furto_total,roubo_total,densidade_cvli_100milhab,densidade_furto_100milhab,densidade_roubo_100milhab
1507904,Soure,Soure,PA,Pará,MARAJO ORIENTAL,de 21 mil a 40 mil,24204,2857.349,12,1,370,15,4.131548504379442,1528.672946620393,61.97322756569162
1507102,São Caetano de Odivelas,São Caetano de Odivelas,PA,Pará,GUAMA,Até 20 mil,16591,464.166,12,3,107,17,18.08209270086191,644.9279729974082,102.4651919715508
1507151,São Domingos do Araguaia,São Domingos do Araguaia,PA,Pará,CARAJAS,de 21 mil a 40 mil,22841,1392.464,12,6,97,8,26.2685521649665,424.6749266669585,35.02473621995534
1507201,São Domingos do Capim,São Domingos do Capim,PA,Pará,GUAMA,de 21 mil a 40 mil,30655,1686.765,12,14,137,17,45.6695481976839,446.9091502201925,55.45587995433046
1507409,São Francisco do Pará,São Francisco do Pará,PA,Pará,GUAMA,Até 20 mil,15656,479.441,12,4,116,15,25.54931016862545,740.929994890138,95.80991313234543
1507300,São Félix do Xingu,São Félix do Xingu,PA,Pará,ALTO XINGU,de 41 mil a 100 mil,65418,84212.901,12,26,364,67,39.74441285273166,556.4217799382433,102.4182946589624
1507458,São Geraldo do Araguaia,São Geraldo do Araguaia,PA,Pará,CARAJAS,de 21 mil a 40 mil,24250,3168.392,12,10,105,9,41.23711340206186,432.9896907216495,37.11340206185567
1507466,São João da Ponta,São João da Ponta,PA,Pará,GUAMA,Até 20 mil,4422,195.918,12,2,44,7,45.22840343735866,995.0248756218905,158.2994120307553
1507474,São João de Pirabas,São João de Pirabas,PA,Pará,CAETE,de 21 mil a 40 mil,21365,668.058,12,1,173,24,4.68055230517201,809.7355487947577,112.3332553241283
1507508,São João do Araguaia,São João do Araguaia,PA,Pará,CARAJAS,Até 20 mil,12022,1279.889,12,6,59,16,49.90850108135086,490.7669272999501,133.0893362169356
1507607,São Miguel do Guamá,São Miguel do Guamá,PA,Pará,GUAMA,de 41 mil a 100 mil,52895,1094.565,12,11,405,83,20.79591643822667,765.6678324983458,156.9146422157104
1507706,São Sebastião da Boa Vista,São Sebastião da Boa Vista,PA,Pará,MARAJO OCIDENTAL,de 21 mil a 40 mil,25404,1632.251,12,5,217,7,19.68193985199181,854.1961895764446,27.55471579278854
1507953,Tailândia,Tailândia,PA,Pará,LAGO DE TUCURUI,de 41 mil a 100 mil,77282,4430.477,12,20,564,121,25.87924743148469,729.7947775678683,156.5694469604824
1507961,Terra Alta,Terra Alta,PA,Pará,GUAMA,Até 20 mil,10603,204.97,12,1,64,11,9.431293030274452,603.6027539375649,103.744223333019
1507979,Terra Santa,Terra Santa,PA,Pará,BAIXO AMAZONAS,Até 20 mil,18067,1895.884,12,0,181,11,0.0,1001.826534565783,60.8844855260973
1508001,Tomé-Açu,Tomé-Açu,PA,Pará,GUAMA,de 41 mil a 100 mil,70142,5145.361,12,31,614,194,44.19605942231473,875.3671124290724,276.581791223518
1508035,Tracuateua,Tracuateua,PA,Pará,CAETE,de 21 mil a 40 mil,31026,868.025,12,4,135,34,12.89241281505834,435.118932508219,109.5855089279959
1508050,Trairão,Trairão,PA,Pará,TAPAJOS,Até 20 mil,20900,11991.085,12,6,97,1,28.70813397129187,464.1148325358851,4.784688995215311
1508084,Tucumã,Tucumã,PA,Pará,ALTO XINGU,de 21 mil a 40 mil,39544,2512.594,12,20,236,54,50.57657293141817,596.8035605907344,136.5567469148291
1508100,Tucuruí,Tucuruí,PA,Pará,LAGO DE TUCURUI,de 41 mil a 100 mil,91302,2084.287,12,27,908,163,29.57218899914569,994.5017633786773,178.5284002541018
1508126,Ulianópolis,Ulianópolis,PA,Pará,CAPIM,de 41 mil a 100 mil,48016,5088.468,12,8,141,34,16.66111296234589,293.6521159613462,70.80973008997
1508159,Uruará,Uruará,PA,Pará,XINGU,de 41 mil a 100 mil,43787,10791.4,12,30,275,47,68.51348573777605,628.0402859296138,107.3377943225158
1508209,Vigia,Vigia,PA,Pará,GUAMA,de 41 mil a 100 mil,50835,401.589,12,5,367,56,9.83574309039048,721.9435428346611,110.1603226123734
1508308,Viseu,Viseu,PA,Pará,CAETE,de 41 mil a 100 mil,54340,4972.936,12,5,262,44,9.201324990798675,482.1494295178506,80.97165991902834
1508357,Vitória do Xingu,Vitória do Xingu,PA,Pará,XINGU,Até 20 mil,15257,3089.537,12,3,145,10,19.66310545978895,950.383430556466,65.54368486596316
1508407,Xinguara,Xinguara,PA,Pará,ALTO XINGU,de 41 mil a 100 mil,52893,3779.348,12,13,304,64,24.57792146408788,574.745240390978,120.998997977048
1500347,Água Azul do Norte,Água Azul do Norte,PA,Pará,ALTO XINGU,Até 20 mil,18062,7113.956,12,6,98,15,33.21891263425977,542.575573026243,83.04728158564943
1505106,Óbidos,Óbidos,PA,Pará,BAIXO AMAZONAS,de 41 mil a 100 mil,52229,28009.65,12,9,360,17,17.23180608474219,689.2722433896877,32.54896704895748
